count,timePeriod
1,201001010000
0,201001020000
0,201001030000
23,201001040000
7,201001050000
11,201001060000
17,201001070000
6,201001080000
2,201001090000
3,201001100000
11,201001110000
8,201001120000
2,201001130000
4,201001140000
4,201001150000
1,201001160000
1,201001170000
1,201001180000
1,201001190000
2,201001200000
7,201001210000
7,201001220000
0,201001230000
0,201001240000
3,201001250000
5,201001260000
2,201001270000
6,201001280000
2,201001290000
1,201001300000
4,201001310000
5,201002010000
11,201002020000
16,201002030000
9,201002040000
13,201002050000
5,201002060000
15,201002070000
410,201002080000
40,201002090000
9,201002100000
19,201002110000
14,201002120000
28,201002130000
2,201002140000
13,201002150000
13,201002160000
13,201002170000
40,201002180000
25,201002190000
7,201002200000
4,201002210000
16,201002220000
23,201002230000
29,201002240000
21,201002250000
26,201002260000
5,201002270000
8,201002280000
36,201003010000
48,201003020000
33,201003030000
23,201003040000
32,201003050000
9,201003060000
11,201003070000
39,201003080000
49,201003090000
35,201003100000
34,201003110000
24,201003120000
20,201003130000
36,201003140000
172,201003150000
219,201003160000
165,201003170000
81,201003180000
72,201003190000
42,201003200000
39,201003210000
57,201003220000
59,201003230000
67,201003240000
76,201003250000
41,201003260000
15,201003270000
15,201003280000
65,201003290000
44,201003300000
69,201003310000
248,201004010000
46,201004020000
13,201004030000
5,201004040000
42,201004050000
23,201004060000
49,201004070000
60,201004080000
71,201004090000
25,201004100000
9,201004110000
121,201004120000
53,201004130000
90,201004140000
113,201004150000
158,201004160000
7,201004170000
7,201004180000
21,201004190000
17,201004200000
10,201004210000
10,201004220000
8,201004230000
1,201004240000
1,201004250000
7,201004260000
14,201004270000
15,201004280000
12,201004290000
28,201004300000
3,201005010000
4,201005020000
12,201005030000
18,201005040000
6,201005050000
41,201005060000
21,201005070000
8,201005080000
2,201005090000
9,201005100000
16,201005110000
12,201005120000
3,201005130000
4,201005140000
5,201005150000
7,201005160000
8,201005170000
3,201005180000
18,201005190000
5,201005200000
3,201005210000
4,201005220000
4,201005230000
2,201005240000
5,201005250000
2,201005260000
9,201005270000
4,201005280000
