count,timePeriod
3,201001010000
12,201001020000
18,201001030000
14,201001040000
18,201001050000
28,201001060000
9,201001070000
7,201001080000
2,201001090000
3,201001100000
6,201001110000
15,201001120000
9,201001130000
12,201001140000
38,201001150000
2,201001160000
0,201001170000
12,201001180000
17,201001190000
16,201001200000
17,201001210000
29,201001220000
3,201001230000
6,201001240000
17,201001250000
12,201001260000
24,201001270000
11,201001280000
30,201001290000
4,201001300000
4,201001310000
8,201002010000
13,201002020000
9,201002030000
11,201002040000
15,201002050000
9,201002060000
17,201002070000
41,201002080000
15,201002090000
13,201002100000
8,201002110000
11,201002120000
6,201002130000
2,201002140000
9,201002150000
19,201002160000
29,201002170000
26,201002180000
13,201002190000
8,201002200000
28,201002210000
18,201002220000
10,201002230000
10,201002240000
21,201002250000
34,201002260000
22,201002270000
15,201002280000
19,201003010000
68,201003020000
40,201003030000
25,201003040000
39,201003050000
25,201003060000
13,201003070000
27,201003080000
87,201003090000
36,201003100000
31,201003110000
13,201003120000
15,201003130000
19,201003140000
90,201003150000
262,201003160000
225,201003170000
97,201003180000
114,201003190000
44,201003200000
34,201003210000
53,201003220000
39,201003230000
69,201003240000
84,201003250000
57,201003260000
48,201003270000
20,201003280000
45,201003290000
56,201003300000
58,201003310000
110,201004010000
59,201004020000
15,201004030000
6,201004040000
19,201004050000
28,201004060000
15,201004070000
26,201004080000
24,201004090000
21,201004100000
10,201004110000
12,201004120000
35,201004130000
19,201004140000
18,201004150000
25,201004160000
11,201004170000
2,201004180000
10,201004190000
9,201004200000
2,201004210000
14,201004220000
6,201004230000
1,201004240000
3,201004250000
11,201004260000
1,201004270000
12,201004280000
26,201004290000
15,201004300000
7,201005010000
8,201005020000
10,201005030000
6,201005040000
8,201005050000
21,201005060000
14,201005070000
4,201005080000
3,201005090000
5,201005100000
7,201005110000
24,201005120000
9,201005130000
11,201005140000
10,201005150000
3,201005160000
1,201005170000
4,201005180000
7,201005190000
5,201005200000
8,201005210000
0,201005220000
2,201005230000
1,201005240000
4,201005250000
8,201005260000
2,201005270000
8,201005280000
